Time resolution is 1 ps
simtime = 0, CLK = 0, J = 0, K = 0, Q = x, QBAR = x
simtime = 10, CLK = 1, J = 0, K = 0, Q = x, QBAR = x
simtime = 20, CLK = 0, J = 0, K = 0, Q = x, QBAR = x
simtime = 30, CLK = 1, J = 0, K = 0, Q = x, QBAR = x
simtime = 40, CLK = 0, J = 0, K = 0, Q = x, QBAR = x
simtime = 50, CLK = 1, J = 0, K = 0, Q = x, QBAR = x
simtime = 60, CLK = 0, J = 0, K = 0, Q = x, QBAR = x
simtime = 70, CLK = 1, J = 0, K = 0, Q = x, QBAR = x
simtime = 80, CLK = 0, J = 0, K = 0, Q = x, QBAR = x
simtime = 90, CLK = 1, J = 0, K = 0, Q = x, QBAR = x
simtime = 100, CLK = 0, J = 0, K = 1, Q = x, QBAR = x
simtime = 100, CLK = 0, J = 0, K = 1, Q = x, QBAR = x
simtime = 110, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 110, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 120, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 120, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 130, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 130, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 140, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 140, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 150, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 150, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 160, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 160, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 170, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 170, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 180, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 180, CLK = 0, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 190, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 190, CLK = 1, J = 0, K = 1, Q = 0, QBAR = 1
simtime = 200, CLK = 0, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 200, CLK = 0, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 200, CLK = 0, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 210, CLK = 1, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 210, CLK = 1, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 210, CLK = 1, J = 1, K = 1, Q = 0, QBAR = 1
simtime = 220, CLK = 0, J = 1, K = 1, Q = 0, QBAR = 1
